area_name,latitude,longitude
"Uday Omini Hospital, Chapel Road",17.397053,78.472558
HP Petrol Pump near Old Hyd Dist Collector Office,17.390414,78.471241
Under Metro Station Nampally,17.39144,78.470213
HTP,17.400518,78.470747
Haj House,17.396848,78.471021
"Chemist Bhavan, King Koti Road",17.393438,78.478463
Nizam College Gate No.4,17.400181,78.476907
Taj Mahal Junction,17.392124,78.476284
Gun Park / HTP,17.4008462,78.4698862
Bazarghat,17.394092,78.462566
Kattamaisamma Near Habeebnagar PS,17.388418,78.461484
"Opp ICICI Bank, Road No.12",17.41148,78.435294
Taj Krishna Bus Stop,17.416332,78.448778
Administrative Staff College,17.427245,78.440773
Command Control Centre,17.414123,78.427016
"Hanuman Temple, LV Prasad",17.423969,78.428398
"ATM Centre, Srinagar Colony",17.430066,78.439594
Mahaveer Hospital,17.40337,78.456781
Shangrella Plaza Road No.2,17.425444,78.420144
Zeehra Nagar,17.416242,78.437827
Parking Slot Opp. Shabdalaya Studios,17.422871,78.426981
BRS Bhavan,17.415804,78.425994
Park Hyatt Hotel / Rainbow Hospital,17.424578,78.430867
Jubilee Check Post Towards BVB,17.4265094,78.4158618
"Mylan Labs, Road No.92",17.416046,78.418993
"CVR News, BVB Junction",17.4195725,78.412327
"Apollo Credile, Jubilee Hills",17.4168908,78.417427
"Beside Dominos, Road No.5",17.4308822,78.4209456
RUB Balkampet,17.44877,78.451159
Satyam Theater,17.437371,78.448351
Under FOB ESI,17.448624,78.43741
Maitrivanam Junction,17.437485,78.443424
Passport Office,17.437328,78.447481
Holy Cross Opposite,17.448957,78.44974
Andhra Flour Mill towards Balika Bhavan Jn,17.392738,78.424969
Tolichowki under the flyover,17.398453,78.416479
"Beside Toyota Show Room, Nizam Colony ending Tolichowki Flyover",17.398289,78.418935
"Near Langer House Culvert, Bapughat",17.373124,78.415207
Bapughat U Turn towards Tippu Khan,17.373126,78.410209
"In front of Sulabh Complex, beside Bapughat Fruit Market",17.373125,78.411589
"Near Galaxy Theatre, Tolichowki",17.402824,78.410616
DLRL to Ruman Hotel,17.328372,78.481772
"Near Royal Sea Hotel, Bandlaguda",17.314896,78.464722
MBNR X Road,17.326358,78.476198
RTO Office Bandlaguda,17.319785,78.467221
Moghul College near ST Hostel,17.314385,78.461227
Tippu Khana Masque,17.369345,78.476602
CAR HQs & MTO,17.367842,78.466215
DFR Show Room Towards Delhi Gate,17.370279,78.475693
"OP Chatrinaka, Chatrinaka PS",17.343282,78.478107
Engine Bowli,17.337437,78.467787
DLRL to Ruman Hotel,17.328372,78.481772
"Near Royal Sea Hotel, Bandlaguda",17.314896,78.464722
MBNR X Road,17.326358,78.476198
RTO Office Bandlaguda,17.319785,78.467221
Moghul College near ST Hostel,17.314385,78.461227
Tippu Khana Masque,17.369345,78.476602
CAR HQs & MTO,17.367842,78.466215
DFR Show Room Towards Delhi Gate,17.370279,78.475693
"OP Chatrinaka, Chatrinaka PS",17.343282,78.478107
Engine Bowli,17.337437,78.467787
"Gandhi Hospital Back Side, Padma Rao Nagar",17.423248,78.505123
Near Padma Rao Nagar T Junction,17.429779,78.504467
"Mettuguda U Turn, Metro Pillar No. C - 1084",17.433563,78.521601
"Dr. BR Ambedkar Statue, Near Lalapet Bridge",17.435087,78.541037
"Lallapet, Opp to Ram Theater",17.437633,78.543996
"Beside Zoo Park, Mochi Colony",17.34809,78.451892
In Front of Bahadurpura L&O PS,17.358668,78.455283
Indira Park to Ashok Nagar Nala (Near Reliance U Turn),17.410134,78.486744
Mekala Mandi CGO Towers,17.422735,78.495507
Lower Tank Bund Near Snow World,17.415348,78.480127
Under Railway Bridge at Bible House,17.431053,78.492598
Near RK Mutt Bus Stop,17.411277,78.482757
"Malakunta, Pillar No.1318",17.384482,78.474398
CBS,17.378455,78.482118
"Gandhi Statue, Puranapool",17.369362,78.458523
"6 No. Junction, Amberpet",17.3915,78.511201
"Rub-Nimboliadda, Nimboliadda, Kachiguda",17.382674,78.494936
"TY. Mandali X Road, Kachiguda",17.394608,78.498455
"Crown Café X Road, Kachiguda",17.396263,78.496303
"Tourist X Road, Kachiguda",17.389667,78.496814
Nimboliadda Graveyard,17.385494,78.505885
"Moosarambagh Bridge, Near Ali Café",17.381185,78.5179
"Besides Amberpet L&O PS, Opp. Guru Dwar",17.389702,78.516368
Opp: Zinda Tilasmath Company,17.387966,78.509152
Opp King Palace Towards Ramanthapur,17.394714,78.5249
"Beside Hero Honda Showroom, Kachiguda",17.394004,78.510839
"100 Ft Road, Jiyaguda",17.367068,78.456372
"Opp. Rose Max Function Hall, Karwan Road",17.376468,78.432309
"Beside Hanuman Temple, Langer House PS Road",17.377041,78.427587
Jiyaguda Bus Stop,17.370148,78.442337
"Laxmi Nagar Up Ramp, Pillar No. 77",17.389653,78.430278
SBI X Road,17.443019,78.495429
Plaza Near Bharath Petrol Pump,17.443059,78.49067
Ranigunj X Road,17.432941,78.488622
"Near Akshaya Hotel, Malakpet / Opp: Malakpet Gunj",17.373299,78.50241
"Esan High School, Purani Haveli",17.367588,78.481296
BibiBazar X Roads,17.358468,78.479361
"Railway Degree College, Tarnaka",17.429733,78.526031
"Indian Oil Petrol Pump, Habsiguda",17.41771,78.542897
NFCL Opp: Chutneys,17.426596,78.446601
CM Camp Office (Starting Flyover),17.432415,78.455958
Opp. Lifestyle (Starting Flyover Begumpet),17.435952,78.455908
CSK Under Pass ORR Service Road,17.256862,78.375024
Rallaguda Junction ORR Under Pass,17.264268,78.377129
Rajiv Gruhakalpa ORR Underpass,17.28245,78.38302
"Near Indane Gas Company, Shamshabad",17.2630483,78.3838517
Sangiguda X Road ORR Under Pass,17.20392,78.392654
"Near ORR Trauma Centre, On NH-765 (Srisailam Highway), Thukkuguda",17.2031992,78.4763966
"Mc Donald, Service Road, Gaganpahad",17.2891387,78.4164137
Chanchalguda Y Junction,17.365213,78.501496
Dobighat X Roads,17.356534,78.50561
"Secretariat Junction, In Front of LIC Office",17.407683,78.47089
DSE Building,17.407193,78.466942
I Max Necklace Rotary & Hanuman Temple,17.413765,78.464488
"Crystal Bar and Restaurant, Opp of IS Sadan PS",17.34851,78.508516
"Opp. Yadagiri Theatre Venkateswaraswamy Temple, Khamman",17.346724,78.508177
Rangamahal Y Junction,17.3809,78.484803
94 Bus Stop Lane,17.383528,78.481329
Putlibowli X Road,17.382541,78.480943
Narayanaguda X Road,17.398445,78.493148
