crash_id,latitude,longitude,date,day_of_week,killed,injured,severity
10,17.692782870071433,77.62231729628967,2021-12-31 00:00:00,friday,4,0,20
11,16.48884543363603,78.3091303972808,2022-01-01 00:00:00,saturday,2,0,10
12,16.526195268882535,78.59603307218524,2022-01-01 00:00:00,saturday,2,0,10
41,17.52559528053733,78.27114402473659,2022-01-05 00:00:00,wednesday,3,2,17
121,17.490912151289685,80.57321678720476,2022-01-28 00:00:00,friday,4,8,28
124,18.428038071455486,79.13507468317677,2022-01-30 00:00:00,sunday,4,2,22
128,18.989326374344998,79.08330736132393,2022-01-30 00:00:00,sunday,3,0,15
177,17.23253687972608,79.69398413248594,2022-02-10 00:00:00,thursday,4,0,20
201,18.188326947884857,79.91491551269137,2022-02-19 00:00:00,saturday,4,4,24
210,17.313601040235092,78.13928501548331,2022-02-21 00:00:00,monday,3,7,22
220,18.056694486628253,78.2584638520406,2022-02-21 00:00:00,monday,2,11,21
226,17.329662439312923,78.27425994433521,2022-02-22 00:00:00,tuesday,2,0,10
231,17.55375191054745,78.46363355451433,2022-02-24 00:00:00,thursday,1,0,5
233,17.26200439015837,78.38814180946548,2022-02-24 00:00:00,thursday,1,0,5
262,18.21815163836048,79.98216386293753,2022-03-05 00:00:00,saturday,6,2,32
310,17.42939031894922,78.40337078144518,2022-03-17 00:00:00,thursday,1,0,5
350,17.364729331569848,79.52306107787611,2022-03-25 00:00:00,friday,2,5,15
354,17.509872371083986,78.36186632666866,2022-03-26 00:00:00,saturday,1,0,5
360,18.325421308896082,78.33671289159956,2022-03-28 00:00:00,monday,5,1,26
401,17.50621987331073,78.50462883692596,2022-04-07 00:00:00,thursday,1,0,5
430,17.408324254611227,78.65562326919091,2022-04-13 00:00:00,wednesday,2,0,10
479,18.578989016195717,79.36551061472527,2022-04-24 00:00:00,sunday,3,4,19
493,18.167944800968232,78.98399312247022,2022-04-28 00:00:00,thursday,2,0,10
540,18.230128967436478,77.9416637111745,2022-05-08 00:00:00,sunday,8,17,57
543,17.69115982171781,77.60837662178527,2022-05-10 00:00:00,tuesday,1,7,12
603,17.509481708599825,80.26925174221408,2022-05-22 00:00:00,sunday,2,4,14
608,18.006945956912094,79.5901092116075,2022-05-22 00:00:00,sunday,2,2,12
650,17.252287102196647,78.45286538050513,2022-06-02 00:00:00,thursday,1,0,5
686,17.387342591299387,78.34000592608474,2022-06-10 00:00:00,friday,2,0,10
703,18.156652491502765,78.89867795354597,2022-06-12 00:00:00,sunday,3,0,15
733,17.21017526105063,78.13340311121085,2022-06-19 00:00:00,sunday,1,0,5
747,17.461431854583598,78.73478348257953,2022-06-23 00:00:00,thursday,3,0,15
